iter	Passed	Remaining
0	39	2355
1	70	2044
2	202	3853
3	243	3412
4	371	4088
5	499	4493
6	625	4735
7	751	4887
8	876	4967
9	1004	5023
10	1144	5096
11	1276	5107
12	1411	5102
13	1542	5067
14	1672	5016
15	1798	4946
16	1928	4876
17	2055	4796
18	2179	4703
19	2301	4603
20	2435	4523
21	2560	4422
22	2689	4326
23	2714	4072
24	2843	3980
25	2972	3887
26	3128	3823
27	3256	3722
28	3383	3617
29	3513	3513
30	3644	3409
31	3770	3299
32	3899	3190
33	4025	3078
34	4152	2966
35	4278	2852
36	4403	2737
37	4529	2622
38	4653	2505
39	4781	2390
40	4909	2274
41	5035	2158
42	5162	2041
43	5286	1922
44	5411	1803
45	5537	1685
46	5666	1567
47	5796	1449
48	5922	1329
49	6050	1210
50	6175	1089
51	6300	969
52	6423	848
53	6551	727
54	6681	607
55	6807	486
56	6934	364
57	7064	243
58	7188	121
59	7313	0
